Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
0.545,R,81.0,59.0,29.79,10.0,N,5.0,0.0,Cloudy,False,False,Day,secondary,False,3,35,Major 125 to 250
0.0,L,86.0,62.0,29.95,10.0,SE,5.0,0.0,Fair,False,False,Day,primary,True,3,35,Major 125 to 250
0.0,L,77.0,100.0,29.92,7.0,CALM,0.0,0.0,Fair,False,False,Day,primary,True,3,35,Major 125 to 250
0.225,R,43.0,93.0,29.91,1.5,SE,8.1,0.02,Drizzle,False,False,Day,unclassified,False,2,45,Major above 250
0.225,R,43.0,93.0,29.91,1.5,SE,8.1,0.02,Drizzle,False,False,Day,residential,False,2,30,Major 125 to 250
0.582,R,33.1,100.0,29.78,6.0,NE,5.8,0.02,Snow,False,False,Night,secondary,False,2,25,Major below 75
2.081,R,55.0,100.0,29.49,2.0,CALM,0.0,0.0,Fog,False,True,Day,secondary,False,2,25,Major below 75
1.64999997616,R,72.0,44.0,29.95,10.0,E,8.0,0.0,Fair,False,False,Day,residential,False,2,25,Major 75 to 125
1.64999997616,R,72.0,44.0,29.95,10.0,E,8.0,0.0,Fair,False,False,Day,residential,False,2,15,Major 125 to 250
0.23000000417199998,L,66.0,81.0,29.83,3.0,E,5.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 75 to 125
0.23000000417199998,L,66.0,81.0,29.83,3.0,E,5.0,0.0,Cloudy,False,False,Day,residential,False,2,15,Major 125 to 250
0.7599999904629999,L,62.0,80.0,29.87,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,25,Major 75 to 125
0.7599999904629999,L,62.0,80.0,29.87,10.0,CALM,0.0,0.0,Fair,False,False,Night,residential,False,2,15,Major 125 to 250
1.89999997616,R,54.0,77.0,28.9,10.0,W,9.0,0.0,Cloudy,False,False,Day,tertiary,True,1,35,Major below 75
0.0,R,59.0,93.0,29.75,9.0,NE,6.0,0.0,Fair,False,False,Night,primary,True,3,30,Major below 75
0.0,R,59.0,93.0,29.75,9.0,NE,6.0,0.0,Fair,False,False,Night,primary,False,2,55,Major 75 to 125
0.0,R,74.0,35.0,29.62,10.0,SW,8.0,0.0,Fair,False,False,Day,primary,True,3,30,Major below 75
0.0,R,74.0,35.0,29.62,10.0,SW,8.0,0.0,Fair,False,False,Day,primary,False,2,55,Major 75 to 125
0.0,R,78.0,87.0,29.81,10.0,SW,8.0,0.0,Fair,False,False,Night,primary,True,3,30,Major below 75
0.0,R,78.0,87.0,29.81,10.0,SW,8.0,0.0,Fair,False,False,Night,primary,False,2,55,Major 75 to 125
0.0,R,19.0,85.0,30.4,4.0,SE,15.0,0.0,Snow,False,False,Night,primary,True,2,45,Major below 75
0.0,R,35.1,54.0,30.1,10.0,W,13.8,0.0,Cloudy,False,True,Day,primary,True,2,45,Major below 75
0.174,R,20.0,60.0,29.79,10.0,CALM,0.0,0.0,Fair,False,True,Night,primary,True,2,45,Major below 75
0.191,R,66.0,48.0,29.2,10.0,W,8.0,0.0,Fair,False,True,Day,primary,True,2,45,Major below 75
0.04,R,54.0,86.0,29.21,10.0,SW,10.0,0.0,Cloudy,False,True,Day,primary,True,2,45,Major below 75
0.047,R,62.0,72.0,29.28,10.0,CALM,0.0,0.0,Cloudy,False,False,Day,primary,True,2,45,Major below 75
0.0,R,74.0,45.0,29.37,10.0,NE,14.0,0.0,Fair,False,True,Day,primary,True,2,45,Major below 75
0.028,R,72.0,44.0,29.38,10.0,NE,7.0,0.0,Fair,False,False,Day,primary,True,2,45,Major below 75
0.261,R,88.0,40.0,29.12,10.0,SW,9.0,0.0,Fair,False,False,Day,primary,True,2,45,Major below 75
0.0,R,73.0,81.0,29.19,10.0,N,10.0,0.02,Cloudy,False,True,Day,primary,True,2,45,Major below 75
0.0,R,46.0,83.0,30.1,7.0,NE,6.0,0.0,Cloudy,False,False,Day,secondary,False,2,30,Major below 75
0.0,R,55.0,89.0,29.94,4.0,CALM,0.0,0.0,Cloudy,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,50.0,57.0,29.98,10.0,CALM,0.0,0.0,Fair,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,54.0,62.0,30.04,10.0,CALM,0.0,0.0,Fair,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,67.0,61.0,29.66,10.0,SE,8.0,0.0,Cloudy,False,False,Day,secondary,False,2,30,Major below 75
0.0,R,77.0,4.0,30.02,10.0,E,10.0,0.0,Fair,False,False,Day,secondary,False,2,30,Major below 75
0.0,R,60.0,55.0,29.46,10.0,SE,6.0,0.0,Cloudy,False,False,Day,secondary,False,2,30,Major below 75
0.0,R,71.0,75.0,29.78,10.0,CALM,0.0,0.0,Cloudy,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,65.0,84.0,29.81,8.0,CALM,0.0,0.0,Cloudy,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,89.0,40.0,29.84,10.0,SW,8.0,0.0,Fair,False,False,Day,secondary,False,2,30,Major below 75
0.0,R,69.0,75.0,29.83,10.0,S,8.0,0.0,Cloudy,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,63.0,75.0,29.81,10.0,SW,5.0,0.0,Cloudy,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,64.0,70.0,29.83,10.0,CALM,0.0,0.0,Cloudy,False,False,Day,secondary,False,2,30,Major below 75
0.0,R,64.0,72.0,29.88,10.0,SE,6.0,0.0,Cloudy,False,False,Night,secondary,False,2,30,Major below 75
0.0,R,63.0,78.0,29.89,7.0,CALM,0.0,0.0,Cloudy,False,False,Day,secondary,False,2,30,Major below 75
0.366,R,79.0,60.0,29.86,10.0,CALM,0.0,0.0,Fair,False,True,Night,secondary,False,2,30,Major below 75
0.01,R,37.9,97.0,29.63,7.0,SW,3.5,0.03,Rain,False,False,Day,primary,False,4,45,Major below 75
